id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;Webname;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
crystal-white-ap;crystal-white-ap;keramik;20;;;/materials/crystal-white-ap.jpg;;backorder;polerad;crystal white ap;;;;;;;;;
cygnus-17710;cygnus;kvartsit;3;;;/materials/cygnus.jpg;;backorder;polerad;cygnus;;;;;;;;;
cygnus-black-17077;cygnus-black;kvartsit;3;;;/materials/cygnus-black.jpg;;backorder;polerad;cygnus black;;;;;;;;;
daino-reale-nuvolato;Daino_Reale_Nuvolato;marmor;20;;;/materials/Daino_Reale_Nuvolato.jpg;;backorder;;Daino Reale Nuvolato;;;;;;;;;
daino-reale-perlato;Daino_Reale_Perlato;marmor;20;;;/materials/Daino_Reale_Perlato.jpg;;backorder;;Daino Reale Perlato;;;;;;;;;
daino-reale-venato;Daino_Reale_Venato;marmor;20;;;/materials/Daino_Reale_Venato.jpg;;backorder;;Daino Reale Venato;;;;;;;;;
dakar-3490;dakar;kvartsit;3;;;/materials/dakar.jpg;;backorder;polerad;dakar;;;;;;;;;
dakar-white-19449;dakar-white;kvartsit;3;;;/materials/dakar-white.jpg;;backorder;polerad;dakar white;;;;;;;;;
dakar-white-21578;dakar-white;kvartsit;3;;;/materials/dakar-white.jpg;;backorder;matt;dakar white;;;;;;;;;
dakar-white-honed-22186;dakar-white;kvartsit;3;;;/materials/dakar-white.jpg;;backorder;läder;dakar white;;;;;;;;;
dakar-white-leather-19449;dakar-white;kvartsit;3;;;/materials/dakar-white.jpg;;backorder;läder;dakar white;;;;;;;;;
dakar-white-leather-21578;dakar-white;kvartsit;3;;;/materials/dakar-white.jpg;;backorder;polerad;dakar white;;;;;;;;;
danby-imperial-8078;danby-imperial;marmor;3;;;/materials/danby-imperial.jpg;;backorder;matt;danby imperial;;;;;;;;;
danby-imperial-honed-6295;danby-imperial;marmor;3;;;/materials/danby-imperial.jpg;;backorder;matt;danby imperial;;;;;;;;;
danby-imperial-honed-7785;danby-imperial;marmor;20;;;/materials/danby-imperial.jpg;;backorder;matt;danby imperial;;;;;;;;;
danby-white-honed-23824;danby-white-honed;marmor;3;;;/materials/danby-white-honed.jpg;;backorder;polishedsilk;danby white honed;;;;;;;;;
dark-emperador;Dark_Emperador;marmor;20;;;/materials/Dark_Emperador.jpg;;backorder;;Dark Emperador;;;;;;;;;
dark-marquina-3d;dark-marquina-3d;keramik;12;;;/materials/dark-marquina-3d.jpg;;backorder;polerad;dark marquina 3d;;;;;;;;;
delicatus-017946;delicatus;granit;3;;;/materials/delicatus.jpg;;backorder;polerad;delicatus;;;;;;;;;
delicatus-white-258;delicatus-white;granit;3;;;/materials/delicatus-white.jpg;;backorder;polishedsilk;delicatus white;;;;;;;;;
desert-soul-ap;desert-soul-ap;keramik;20;;;/materials/desert-soul-ap.jpg;;backorder;matt;desert soul ap;;;;;;;;;
diamond-black-honed-27615;diamond-black-leather;kvartsit;3;;;/materials/diamond-black-leather.jpg;;backorder;läder;diamond black leather;;;;;;;;;
diamond-black-leather-16645;diamond-black-leather;kvartsit;3;;;/materials/diamond-black-leather.jpg;;backorder;läder;diamond black leather;;;;;;;;;
diamond-white-2cm-22937;diamond-white;kvartsit;20;;;/materials/diamond-white.jpg;;backorder;polerad;diamond white;;;;;;;;;
dolce-vita;Dolce_Vita;kvartsit;20;;;/materials/Dolce_Vita.jpg;;backorder;;Dolce Vita;;;;;;;;;
dolce-vita-light-14683;dolce-vita-light;marmor;3;;;/materials/dolce-vita-light.jpg;;backorder;polerad;dolce vita light;;;;;;;;;
dolce-vita-light-17582;dolce-vita-light;marmor;3;;;/materials/dolce-vita-light.jpg;;backorder;läder;dolce vita light;;;;;;;;;
dolce-vita-light-bg15833;dolce-vita-light;marmor;3;;;/materials/dolce-vita-light.jpg;;backorder;flamed;dolce vita light;;;;;;;;;
dolmen-pro-grigio;dolmen-pro-grigio-ap;keramik;20;;;/materials/dolmen-pro-grigio-ap.jpg;;backorder;polerad;dolmen pro grigio ap;;;;;;;;;
dolomite-extra-2cm-8341;dolomite-extra;dolomite;20;;;/materials/dolomite-extra.jpg;;backorder;polerad;dolomite extra;;;;;;;;;
dolomite-md;dolomite-md;keramik;12;;;/materials/dolomite-md.jpg;;backorder;polerad;dolomite md;;;;;;;;;
double-brown-20-mm-kvartsit;Double_Brown;kvartsit;20;;;/materials/Double_Brown.jpg;;backorder;double brown är en beigeaktig kvartsit från brasilien med ett intressant, stundom litet marmorliknande mönster. stenens kristalliniska struktur påminner å andra sidan snarare om granit. dess hårdhet i mohs skala kan jämföras med kvartssten (7, marmor 2-3, granit 5-6).;Double Brown;;;;;;;;;
double-brown-30-mm-kvartsit;Double_Brown;kvartsit;30;;;/materials/Double_Brown.jpg;;backorder;double brown är en beigeaktig kvartsit från brasilien med ett intressant, stundom litet marmorliknande mönster. stenens kristalliniska struktur påminner å andra sidan snarare om granit. dess hårdhet i mohs skala kan jämföras med kvartssten (7, marmor 2-3, granit 5-6).;Double Brown;;;;;;;;;
dover-white;Dover_White;marmor;20;;;/materials/Dover_White.jpg;;backorder;;Dover White;;;;;;;;;
dumont-16399;dumont;kvartsit;3;;;/materials/dumont.jpg;;backorder;matt;dumont;;;;;;;;;
dumont-honed-16399;dumont;kvartsit;3;;;/materials/dumont.jpg;;backorder;matt;dumont;;;;;;;;;
dumont-satin-356;dumont;kvartsit;3;;;/materials/dumont.jpg;;backorder;polerad;dumont;;;;;;;;;
eclipse;Eclipse;granit;20;;;/materials/Eclipse.jpg;;backorder;;Eclipse;;;;;;;;;
eclipse-3846;Eclipse;granit;3;;;/materials/Eclipse.jpg;;backorder;polerad;Eclipse;;;;;;;;;
elegance-eco-nev-20-mm-kompositsten;Elegance_Eco_Nev;kvarts/komposit;20;;;/materials/Elegance_Eco_Nev.jpg;;backorder;kompositstenskivor i elegance eco nev material är starka, hållbara och extremt hygienisk. dessa av ingen porer, som skulle kunna dras från en mängd olika materialen. kom ock kolla.;Elegance Eco Nev;;;;;;;;;
elegance-eco-nev-30-mm-kompositsten;Elegance_Eco_Nev;kvarts/komposit;30;;;/materials/Elegance_Eco_Nev.jpg;;backorder;kompositstenskivor i elegance eco nev material är starka, hållbara och extremt hygienisk. dessa av ingen porer, som skulle kunna dras från en mängd olika materialen. kom ock kolla.;Elegance Eco Nev;;;;;;;;;
elegant-brown;Elegant_Brown;kvartsit;20;;;/materials/Elegant_Brown.jpg;;backorder;;Elegant Brown;;;;;;;;;
elegant-sable;elegant-sable-ap;keramik;6;;;/materials/elegant-sable-ap.jpg;;backorder;polerad;elegant sable ap;;;;;;;;;
