id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;pros;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
infinity-calacatta-magnifico-12-mm-keramik;infinity calacatta magnifico (12 mm);keramik;12;2516.0;;/materials/Infinity_Calacatta_Magnifico.jpg;-0.1;available;infinity calacatta magnifico är ett konstgjort material som har tillverkats av italiens största producent av keramiska golvmaterial.;;;;;;;;;;
infinity-calacatta-magnifico-20-mm-keramik;infinity calacatta magnifico (20 mm);keramik;20;2516.0;;/materials/Infinity_Calacatta_Magnifico.jpg;-0.1;available;infinity calacatta magnifico är ett konstgjort material som har tillverkats av italiens största producent av keramiska golvmaterial.;;;;;;;;;;
infinity-travertino-chiaro-12-mm-keramik;infinity travertino chiaro (12 mm);keramik;12;2516.0;;/materials/Infinity_Travertino_Chiaro.jpg;-0.1;available;infinity travertino chiaro är en gråbeige keramik som försöker efterlikna den eleganta marmorn travertin.;;;;;;;;;;
infinity-travertino-chiaro-20-mm-keramik;infinity travertino chiaro (20 mm);keramik;20;2516.0;;/materials/Infinity_Travertino_Chiaro.jpg;-0.1;available;infinity travertino chiaro är en gråbeige keramik som försöker efterlikna den eleganta marmorn travertin.;;;;;;;;;;
jura-grey-20-mm-kalksten;jura grey (20 mm);kalksten;20;1490.0;;/materials/Jura_Grey.jpg;-0.1;available;jura grey är tysk en kalksten med ljus bakgrund och vacker mönster. det är inte ovanligt med fossiler som smyckar stenens beigegrå bakgrund.;;;;;;;;;;
jura-grey-30-mm-kalksten;jura grey (30 mm);kalksten;30;2086.0;;/materials/Jura_Grey.jpg;-0.1;available;jura grey är tysk en kalksten med ljus bakgrund och vacker mönster. det är inte ovanligt med fossiler som smyckar stenens beigegrå bakgrund.;;;;;;;;;;
labrador-antique-20-mm-granit;labrador antique (20 mm);granit;20;3834.0;;/materials/Labrador_Antique.jpg;-0.1;available;labrador antique är exklusiv och unik norsk granit som utmärks av blå och purpurfärgade kristaller på brun bakgrund. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
labrador-antique-30-mm-granit;labrador antique (30 mm);granit;30;5368.0;;/materials/Labrador_Antique.jpg;-0.1;available;labrador antique är exklusiv och unik norsk granit som utmärks av blå och purpurfärgade kristaller på brun bakgrund. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
laminam-calce-tortora-12-mm-keramik;laminam calce tortora (12 mm);keramik;12;3499.0;;/materials/Laminam_Calce_Tortora.jpg;-0.1;available;laminam calce tortora - denna trendiga keramik hör till laminam calce-kollektionen. ytan hos calce tortora påminner om en nyputsad vägg.;;;;;;;;;;
laminam-diamond-cream-12-mm-keramik;laminam diamond cream (12 mm);keramik;12;3888.0;;/materials/Laminam_Diamond_Cream.jpg;-0.1;available;laminam diamond cream keramik är som en varm omfamning – ett material som erbjuder trivsel och passar såväl inomhus som ute.;;;;;;;;;;
